,Index,Time Serie,AUSTRALIA - AUSTRALIAN DOLLAR/US$,NEW ZEALAND - NEW ZELAND DOLLAR/US$
0,0,2000-01-03,1.5172,1.9033
1,1,2000-01-04,1.5239,1.9238
2,2,2000-01-05,1.5267,1.9339
3,3,2000-01-06,1.5291,1.9436
4,4,2000-01-07,1.5272,1.9380000000000002
5,5,2000-01-10,1.5242,1.935
6,6,2000-01-11,1.5209,1.9365
7,7,2000-01-12,1.5202,1.9286
8,8,2000-01-13,1.4954,1.9084
9,9,2000-01-14,1.5004,1.9186
11,11,2000-01-18,1.506,1.9342
12,12,2000-01-19,1.5074,1.9399
13,13,2000-01-20,1.5002,1.9486
14,14,2000-01-21,1.5103,1.9592
15,15,2000-01-24,1.5281,1.9759
16,16,2000-01-25,1.5286,1.9732
17,17,2000-01-26,1.5373,1.9763
18,18,2000-01-27,1.5267,1.9716
19,19,2000-01-28,1.5962,2.0534
20,20,2000-01-31,1.5669,2.019
21,21,2000-02-01,1.5835,2.0392
22,22,2000-02-02,1.5723,2.0416
23,23,2000-02-03,1.5657,2.0133
24,24,2000-02-04,1.5835,2.0284
25,25,2000-02-07,1.5775,2.0259
26,26,2000-02-08,1.5741,2.0243
27,27,2000-02-09,1.5759999999999998,2.0325
28,28,2000-02-10,1.5823,2.0263
29,29,2000-02-11,1.5918,2.0346
30,30,2000-02-14,1.5926,2.0542
31,31,2000-02-15,1.5873,2.0534
32,32,2000-02-16,1.587,2.0412
33,33,2000-02-17,1.5823,2.0255
34,34,2000-02-18,1.5893,2.0371
36,36,2000-02-22,1.5982,2.0338
37,37,2000-02-23,1.6139,2.0597
38,38,2000-02-24,1.6276,2.0547
39,39,2000-02-25,1.6194,2.0483
40,40,2000-02-28,1.6351,2.0636
41,41,2000-02-29,1.6247,2.0555
42,42,2000-03-01,1.6483,2.0606
43,43,2000-03-02,1.6455,2.05
44,44,2000-03-03,1.6442,2.05
45,45,2000-03-06,1.6622,2.079
46,46,2000-03-07,1.6569999999999998,2.0678
47,47,2000-03-08,1.641,2.0513
48,48,2000-03-09,1.6247,2.0338
49,49,2000-03-10,1.6297,2.0202
50,50,2000-03-13,1.6221,2.0272
51,51,2000-03-14,1.6287,2.0392
52,52,2000-03-15,1.6327,2.0471
53,53,2000-03-16,1.6375,2.05
54,54,2000-03-17,1.6483,2.064
55,55,2000-03-20,1.6488,2.0683
56,56,2000-03-21,1.6393,2.0396
57,57,2000-03-22,1.6513,2.0509
58,58,2000-03-23,1.6554,2.0513
59,59,2000-03-24,1.6491,2.0479
60,60,2000-03-27,1.6356,2.0276
61,61,2000-03-28,1.6284,1.99
62,62,2000-03-29,1.6329,1.994
63,63,2000-03-30,1.6327,2.004
64,64,2000-03-31,1.6496,2.0161
65,65,2000-04-03,1.6466,2.0008
66,66,2000-04-04,1.6578,1.9972
67,67,2000-04-05,1.6521,1.9869
68,68,2000-04-06,1.6622,1.996
69,69,2000-04-07,1.6658,1.9988
70,70,2000-04-10,1.6692,2.006
71,71,2000-04-11,1.6787,2.0064
72,72,2000-04-12,1.675,2.0101
73,73,2000-04-13,1.6769999999999998,2.0088
74,74,2000-04-14,1.6745,2.0096
75,75,2000-04-17,1.6912,2.0222
76,76,2000-04-18,1.6818,2.019
77,77,2000-04-19,1.6787,2.006
78,78,2000-04-20,1.6861,2.0202
79,79,2000-04-21,1.6878,2.0263
80,80,2000-04-24,1.6821,2.0218
81,81,2000-04-25,1.679,2.0182
82,82,2000-04-26,1.6978,2.0555
83,83,2000-04-27,1.7021,2.0585
84,84,2000-04-28,1.7132,2.0597
85,85,2000-05-01,1.7241,2.0683
86,86,2000-05-02,1.7074,2.0580000000000003
87,87,2000-05-03,1.6949,2.045
88,88,2000-05-04,1.6909,2.0375
89,89,2000-05-05,1.6849,2.0437
90,90,2000-05-08,1.7036,2.0631
91,91,2000-05-09,1.7159,2.0877
92,92,2000-05-10,1.7197,2.0942
93,93,2000-05-11,1.7271,2.0934
94,94,2000-05-12,1.7212,2.0855
95,95,2000-05-15,1.7425,2.1093
96,96,2000-05-16,1.7322,2.1142
97,97,2000-05-17,1.7590000000000001,2.1692
98,98,2000-05-18,1.7535,2.209
99,99,2000-05-19,1.7458,2.1906
100,100,2000-05-22,1.7422,2.1772
101,101,2000-05-23,1.74,2.1801
102,102,2000-05-24,1.7504,2.2026
103,103,2000-05-25,1.7544,2.1901
104,104,2000-05-26,1.7495,2.181
106,106,2000-05-30,1.7337,2.1734
107,107,2000-05-31,1.7519,2.1872
108,108,2000-06-01,1.7479,2.1925
109,109,2000-06-02,1.7271,2.1441
110,110,2000-06-05,1.7206,2.1390000000000002
111,111,2000-06-06,1.6987,2.1106
112,112,2000-06-07,1.6949,2.1186
113,113,2000-06-08,1.7013,2.1345
114,114,2000-06-09,1.7053,2.1368
115,115,2000-06-12,1.6915,2.1245
116,116,2000-06-13,1.6742,2.1186
117,117,2000-06-14,1.6647,2.1022
118,118,2000-06-15,1.6625,2.1322
119,119,2000-06-16,1.6439,2.0899
120,120,2000-06-19,1.66,2.1142
121,121,2000-06-20,1.6565,2.1048
122,122,2000-06-21,1.6595,2.1044
123,123,2000-06-22,1.6686,2.1151
124,124,2000-06-23,1.6767,2.1209
125,125,2000-06-26,1.6764,2.1299
126,126,2000-06-27,1.6633,2.1186
127,127,2000-06-28,1.6603,2.1505
128,128,2000-06-29,1.6586,2.1313
129,129,2000-06-30,1.6748,2.1322
130,130,2000-07-03,1.6678,2.1390000000000002
132,132,2000-07-05,1.6929,2.1701
133,133,2000-07-06,1.6923,2.1716
134,134,2000-07-07,1.6946,2.1716
135,135,2000-07-10,1.6915,2.1687
136,136,2000-07-11,1.6975,2.1753
137,137,2000-07-12,1.6978,2.1763
138,138,2000-07-13,1.7079,2.1753
139,139,2000-07-14,1.7103,2.1683
140,140,2000-07-17,1.7079,2.1839
141,141,2000-07-18,1.7112,2.1853
142,142,2000-07-19,1.7391,2.2026
143,143,2000-07-20,1.7194,2.1697
144,144,2000-07-21,1.705,2.1598
145,145,2000-07-24,1.7065,2.1753
146,146,2000-07-25,1.7097,2.1753
147,147,2000-07-26,1.6938,2.1706
148,148,2000-07-27,1.6975,2.1815
149,149,2000-07-28,1.703,2.1867
150,150,2000-07-31,1.7280000000000002,2.2026
151,151,2000-08-01,1.7227,2.1997
152,152,2000-08-02,1.7153,2.2017
153,153,2000-08-03,1.7112,2.1988
154,154,2000-08-04,1.7147,2.2002
155,155,2000-08-07,1.7059,2.2017
156,156,2000-08-08,1.7042,2.2036
157,157,2000-08-09,1.7283,2.2168
158,158,2000-08-10,1.7188,2.2134
159,159,2000-08-11,1.7256,2.2292
160,160,2000-08-14,1.7212,2.2188
161,161,2000-08-15,1.715,2.2306
162,162,2000-08-16,1.6958,2.2173
163,163,2000-08-17,1.6849,2.2075
164,164,2000-08-18,1.6935,2.2232
165,165,2000-08-21,1.6978,2.2222
166,166,2000-08-22,1.7235,2.2548
167,167,2000-08-23,1.7519,2.3348
168,168,2000-08-24,1.7467,2.3052
169,169,2000-08-25,1.7431,2.2952
170,170,2000-08-28,1.7498,2.3041
171,171,2000-08-29,1.7504,2.3283
172,172,2000-08-30,1.7483,2.3436
173,173,2000-08-31,1.7349,2.343
174,174,2000-09-01,1.7346,2.3348
176,176,2000-09-05,1.7547,2.3463
177,177,2000-09-06,1.7683,2.3529
178,178,2000-09-07,1.7924,2.3969
179,179,2000-09-08,1.7995,2.3889
180,180,2000-09-11,1.7889,2.331
181,181,2000-09-12,1.7902,2.3463
182,182,2000-09-13,1.8018,2.3697
183,183,2000-09-14,1.8215,2.3635
184,184,2000-09-15,1.8349,2.3923
185,185,2000-09-18,1.8459999999999999,2.4319
186,186,2000-09-19,1.845,2.4213
187,187,2000-09-20,1.8615,2.471
188,188,2000-09-21,1.8423,2.4631
189,189,2000-09-22,1.8332,2.4301
190,190,2000-09-25,1.8215,2.4325
191,191,2000-09-26,1.8162,2.4143
192,192,2000-09-27,1.8149,2.4114
193,193,2000-09-28,1.8215,2.4155
194,194,2000-09-29,1.8467,2.454
195,195,2000-10-02,1.8349,2.4783
196,196,2000-10-03,1.8519,2.471
197,197,2000-10-04,1.8639,2.4814
198,198,2000-10-05,1.8692,2.4938
199,199,2000-10-06,1.8730000000000002,2.4876
201,201,2000-10-10,1.8730000000000002,2.4802
202,202,2000-10-11,1.8657,2.4624
203,203,2000-10-12,1.8797,2.5138
204,204,2000-10-13,1.8879,2.5113
205,205,2000-10-16,1.912,2.5316
206,206,2000-10-17,1.9275,2.54
207,207,2000-10-18,1.9279,2.551
208,208,2000-10-19,1.9194,2.5349
209,209,2000-10-20,1.8939,2.495
